filename	onset	offset	event_label
00.wav	3.279	4.463	AMRE
00.wav	4.888	6.272	EATO
00.wav	6.549	7.476	BCCH
00.wav	6.550	8.213	AMCR
01.wav	0.348	5.400	AMCR
02.wav	2.550	4.797	TUTI
02.wav	0.946	1.583	RBWO
02.wav	2.588	3.585	EATO
02.wav	5.783	7.868	SCTA
02.wav	7.412	8.869	BCCH
02.wav	1.795	3.320	AMCR
02.wav	9.560	10.000	REVI
03.wav	8.343	9.269	BCCH
03.wav	5.181	5.592	REVI
03.wav	4.026	5.785	OVEN
03.wav	3.552	4.646	BGGN
03.wav	1.073	4.806	AMCR
04.wav	1.850	2.100	REVI
04.wav	0.212	5.042	AMCR
04.wav	0.193	1.512	BTNW
04.wav	5.884	6.925	BCCH
04.wav	4.402	5.048	TUTI
05.wav	8.561	9.993	EATO
05.wav	6.713	7.255	EATO
05.wav	0.783	3.018	AMCR
05.wav	3.561	5.096	BTNW
05.wav	2.604	3.878	EATO
05.wav	4.430	5.372	EATO
05.wav	6.919	8.620	AMCR
06.wav	2.774	3.317	EATO
06.wav	0.532	1.956	COYE
06.wav	5.086	6.127	BCCH
06.wav	3.106	4.189	BCCH
06.wav	4.600	6.358	OVEN
06.wav	6.565	7.336	COYE
06.wav	9.664	10.000	AMCR
07.wav	2.741	4.369	EATO
07.wav	0.895	4.954	AMCR
08.wav	3.381	10.000	AMCR
08.wav	3.797	4.443	TUTI
08.wav	0.093	0.561	TUTI
08.wav	1.413	2.591	TUTI
08.wav	3.243	5.001	OVEN
08.wav	6.553	6.945	WOTH
08.wav	5.034	6.105	TUTI
09.wav	9.230	10.000	AMCR
09.wav	7.952	8.520	REVI
09.wav	5.836	6.845	AMRE
09.wav	5.763	6.945	KEWA
09.wav	5.362	6.449	BCCH
09.wav	2.527	3.070	EATO
10.wav	9.291	10.000	SCTA
10.wav	7.625	8.132	WOTH
10.wav	1.628	1.960	EATO
10.wav	4.565	5.174	EATO
10.wav	5.361	7.322	EATO
10.wav	6.488	8.006	KEWA
