filename	onset	offset	event_label
00.wav	6.550	8.213	AMCR
00.wav	6.549	7.476	BCCH
00.wav	4.888	6.272	EATO
00.wav	3.279	4.463	AMRE
01.wav	0.348	5.400	AMCR
02.wav	0.946	1.583	RBWO
02.wav	1.795	3.320	AMCR
02.wav	2.550	4.797	TUTI
02.wav	5.783	7.868	SCTA
02.wav	7.412	8.869	BCCH
02.wav	9.560	10.000	REVI
02.wav	2.588	3.585	EATO
03.wav	3.552	4.646	BGGN
03.wav	8.343	9.269	BCCH
03.wav	5.181	5.592	REVI
03.wav	4.026	5.785	OVEN
03.wav	1.073	4.806	AMCR
04.wav	0.212	5.042	AMCR
04.wav	1.850	2.100	REVI
04.wav	4.402	5.048	TUTI
04.wav	5.884	6.925	BCCH
04.wav	0.193	1.512	BTNW
05.wav	0.783	3.018	AMCR
05.wav	6.919	8.620	AMCR
05.wav	8.561	9.993	EATO
05.wav	6.713	7.255	EATO
05.wav	2.604	3.878	EATO
05.wav	4.430	5.372	EATO
05.wav	3.561	5.096	BTNW
06.wav	4.600	6.358	OVEN
06.wav	0.532	1.956	COYE
06.wav	2.774	3.317	EATO
06.wav	3.106	4.189	BCCH
06.wav	9.664	10.000	AMCR
06.wav	6.565	7.336	COYE
06.wav	5.086	6.127	BCCH
07.wav	2.741	4.369	EATO
07.wav	0.895	4.954	AMCR
08.wav	1.413	2.591	TUTI
08.wav	3.243	5.001	OVEN
08.wav	3.381	10.000	AMCR
08.wav	3.797	4.443	TUTI
08.wav	5.034	6.105	TUTI
08.wav	0.093	0.561	TUTI
08.wav	6.553	6.945	WOTH
09.wav	9.230	10.000	AMCR
09.wav	7.952	8.520	REVI
09.wav	2.527	3.070	EATO
09.wav	5.362	6.449	BCCH
09.wav	5.763	6.945	KEWA
09.wav	5.836	6.845	AMRE
10.wav	7.625	8.132	WOTH
10.wav	5.361	7.322	EATO
10.wav	9.291	10.000	SCTA
10.wav	4.565	5.174	EATO
10.wav	1.628	1.960	EATO
10.wav	6.685	8.667	AMCR
10.wav	6.488	8.006	KEWA
100.wav	8.440	9.552	AMRE
100.wav	2.465	3.256	BCCH
100.wav	1.324	1.892	BHCO
100.wav	0.566	0.958	WOTH
100.wav	0.462	2.556	BAWW
1000.wav	3.287	4.566	OVEN
1000.wav	3.771	6.340	TUTI
1000.wav	1.859	3.571	TUTI
1000.wav	5.207	10.000	NOCA
1000.wav	5.920	6.385	BHVI
1000.wav	8.061	9.057	EATO
1001.wav	4.088	5.361	EATO
1001.wav	3.996	5.454	BCCH
1001.wav	1.637	2.928	TUTI
1001.wav	6.540	8.379	OVEN
1002.wav	3.528	4.527	BCCH
1002.wav	6.323	7.643	BTNW
1002.wav	7.191	8.322	EATO
1002.wav	7.367	10.000	AMCR
1002.wav	2.434	3.708	EATO
1002.wav	2.522	3.502	NOCA
1003.wav	7.849	8.791	EATO
1003.wav	5.660	6.979	BTNW
1003.wav	3.349	3.994	TUTI
1003.wav	2.280	2.814	REVI
1003.wav	1.428	2.017	BTNW
1003.wav	0.041	1.668	EATO
1003.wav	7.893	10.000	TUTI
1004.wav	9.479	10.000	EATO
1004.wav	4.297	6.045	EATO
1004.wav	1.206	2.309	COYE
1005.wav	1.831	3.123	EATO
1005.wav	0.649	1.041	WOTH
1006.wav	0.860	4.460	EATO
1006.wav	5.718	7.132	AMCR
1006.wav	5.775	7.049	EATO
1006.wav	0.667	1.671	BCCH
1006.wav	9.129	10.000	EATO
1006.wav	7.280	7.987	TUTI
1007.wav	0.655	1.929	EATO
1007.wav	8.095	9.135	EATO
1007.wav	9.375	9.767	WOTH
1008.wav	2.973	3.365	WOTH
1008.wav	0.530	1.803	EATO
1008.wav	7.531	8.805	EATO
1008.wav	9.565	10.000	EATO
1009.wav	4.320	5.594	EATO
101.wav	4.849	5.498	BTNW
101.wav	7.787	8.715	AMRE
101.wav	8.310	8.849	RBWO
1010.wav	2.613	3.744	EATO
1011.wav	4.153	5.080	BCCH
1011.wav	5.957	6.726	EATO
1011.wav	2.945	3.652	TUTI
1011.wav	8.916	9.649	BCCH
1011.wav	1.462	2.459	EATO
1012.wav	5.579	6.306	REVI
1012.wav	5.145	7.481	EATO
1012.wav	2.578	3.519	EATO
1012.wav	2.059	2.751	BTNW
1012.wav	8.765	10.000	BGGN
1012.wav	8.505	9.797	EATO
1012.wav	7.063	7.912	BCCH
1013.wav	9.665	10.000	EATO
1013.wav	2.971	3.303	EATO
1014.wav	0.911	1.454	EATO
1015.wav	4.795	5.881	EATO
1015.wav	2.982	3.254	EATO
1015.wav	0.996	1.743	BLJA
1015.wav	7.094	9.719	EATO
1016.wav	5.034	7.281	TUTI
1016.wav	3.446	4.720	EATO
1017.wav	3.249	3.792	EATO
1018.wav	1.069	1.340	EATO
1018.wav	1.978	3.435	BCCH
1018.wav	6.139	7.136	EATO
1018.wav	6.206	6.962	OVEN
1018.wav	5.770	7.320	KEWA
1018.wav	8.593	9.868	EATO
1018.wav	8.281	8.612	BLJA
1018.wav	8.136	9.433	BCCH
