filename	onset	offset	event_label
00.wav	3.279	4.463	AMRE
00.wav	6.549	7.476	BCCH
00.wav	4.888	6.272	EATO
00.wav	6.550	8.213	AMCR
01.wav	0.348	5.400	AMCR
02.wav	9.560	10.000	REVI
02.wav	7.412	8.869	BCCH
02.wav	5.783	7.868	SCTA
02.wav	2.588	3.585	EATO
02.wav	2.550	4.797	TUTI
02.wav	1.795	3.320	AMCR
02.wav	0.946	1.583	RBWO
03.wav	3.552	4.646	BGGN
03.wav	1.073	4.806	AMCR
03.wav	8.343	9.269	BCCH
03.wav	4.026	5.785	OVEN
03.wav	5.181	5.592	REVI
04.wav	5.884	6.925	BCCH
04.wav	1.850	2.100	REVI
04.wav	0.212	5.042	AMCR
04.wav	4.402	5.048	TUTI
04.wav	0.193	1.512	BTNW
05.wav	8.561	9.993	EATO
05.wav	6.919	8.620	AMCR
05.wav	6.713	7.255	EATO
05.wav	4.430	5.372	EATO
05.wav	3.561	5.096	BTNW
05.wav	0.783	3.018	AMCR
05.wav	2.604	3.878	EATO
06.wav	3.106	4.189	BCCH
06.wav	4.600	6.358	OVEN
06.wav	5.086	6.127	BCCH
06.wav	0.532	1.956	COYE
06.wav	6.565	7.336	COYE
06.wav	9.664	10.000	AMCR
06.wav	2.774	3.317	EATO
07.wav	2.741	4.369	EATO
07.wav	0.895	4.954	AMCR
08.wav	5.034	6.105	TUTI
08.wav	0.093	0.561	TUTI
08.wav	1.413	2.591	TUTI
08.wav	3.243	5.001	OVEN
08.wav	3.381	10.000	AMCR
08.wav	3.797	4.443	TUTI
08.wav	6.553	6.945	WOTH
09.wav	7.952	8.520	REVI
09.wav	5.836	6.845	AMRE
09.wav	5.763	6.945	KEWA
09.wav	5.362	6.449	BCCH
09.wav	2.527	3.070	EATO
09.wav	9.230	10.000	AMCR
10.wav	5.361	7.322	EATO
10.wav	4.565	5.174	EATO
10.wav	6.488	8.006	KEWA
10.wav	6.685	8.667	AMCR
10.wav	7.625	8.132	WOTH
10.wav	9.291	10.000	SCTA
10.wav	1.628	1.960	EATO
100.wav	4.371	10.000	AMCR
100.wav	2.465	3.256	BCCH
100.wav	1.324	2.173	BCCH
100.wav	0.566	1.292	REVI
1000.wav	3.728	5.001	EATO
1000.wav	8.653	9.648	BGGN
1001.wav	8.966	9.396	BGGN
1001.wav	8.272	8.719	BGGN
1001.wav	6.672	7.004	EATO
1001.wav	5.149	6.741	BGGN
1001.wav	3.422	4.815	BGGN
1001.wav	1.543	2.312	EATO
1001.wav	1.472	2.310	BGGN
1002.wav	1.518	2.071	BGGN
1002.wav	9.394	10.000	EATO
1002.wav	7.456	8.496	EATO
1002.wav	7.047	10.000	NOCA
1002.wav	3.261	4.157	BGGN
1002.wav	2.002	3.276	EATO
1002.wav	5.679	6.335	BCCH
1002.wav	5.854	6.940	EATO
1003.wav	8.667	9.562	BGGN
1004.wav	7.263	8.158	BGGN
1004.wav	7.808	8.894	EATO
1004.wav	0.436	1.416	NOCA
1005.wav	2.873	5.253	NOCA
1005.wav	2.793	3.681	BGGN
1005.wav	4.705	8.009	BGGN
1005.wav	7.872	8.837	BCCH
1005.wav	9.549	10.000	EATO
1006.wav	8.344	9.091	BGGN
1007.wav	0.325	1.058	BCCH
1007.wav	8.572	9.318	BGGN
1008.wav	8.789	9.535	BGGN
1008.wav	8.236	9.509	EATO
1008.wav	7.481	8.227	BGGN
1008.wav	4.732	5.732	BCCH
1008.wav	0.016	1.011	BGGN
1009.wav	5.999	10.000	NOCA
1009.wav	8.848	10.000	BGGN
1009.wav	7.599	8.495	BGGN
1009.wav	4.985	6.116	EATO
1009.wav	2.825	6.878	SCTA
1009.wav	1.376	2.620	COYE
101.wav	3.684	5.522	OVEN
101.wav	7.944	10.000	AMCR
101.wav	7.943	9.331	NOCA
1010.wav	4.660	6.856	COYE
1010.wav	1.309	1.757	BGGN
1010.wav	3.658	3.929	EATO
1011.wav	8.104	9.696	BGGN
1011.wav	7.057	9.132	EATO
1011.wav	5.557	6.944	NOCA
1011.wav	1.145	1.688	EATO
1011.wav	2.548	3.294	BGGN
1011.wav	4.266	5.348	BCCH
1011.wav	5.257	6.594	COYE
1011.wav	9.118	10.000	NOCA
1012.wav	2.270	4.515	NOCA
1012.wav	5.844	7.531	COYE
1012.wav	0.512	1.075	BGGN
1012.wav	7.834	9.060	SCTA
1012.wav	7.159	8.492	EATO
1012.wav	7.854	9.247	BGGN
1012.wav	8.584	9.353	TUTI
1013.wav	7.936	8.981	BGGN
